,date,open,high,low,close,volume
2148,2021-07-27 20:19:12.903484928,307.84,307.94,307.71,307.9,548.72
2149,2021-07-27 20:19:17.019367168,307.84,307.96,307.71,307.95,589.39
2150,2021-07-27 20:19:21.132648448,307.84,307.96,307.71,307.93,597.04
2151,2021-07-27 20:19:25.247928320,307.84,307.96,307.71,307.93,600.56
2152,2021-07-27 20:19:29.364556544,307.84,307.96,307.71,307.88,624.5
2153,2021-07-27 20:19:33.480307200,307.84,307.96,307.71,307.95,720.25
2154,2021-07-27 20:19:37.586924288,307.84,307.96,307.71,307.95,726.72
2155,2021-07-27 20:19:40.670030848,307.84,307.99,307.71,307.98,742.48
2156,2021-07-27 20:19:44.784027904,307.84,307.99,307.71,307.98,745.82
2157,2021-07-27 20:19:48.901208576,307.84,307.99,307.71,307.99,746.59
2158,2021-07-27 20:19:53.018853376,307.84,307.99,307.71,307.98,747.79
2159,2021-07-27 20:19:57.135864320,307.84,307.99,307.71,307.98,761.91
2160,2021-07-27 20:20:01.253409792,307.84,307.99,307.71,307.99,768.9
2161,2021-07-27 20:20:05.369366016,307.84,308.03,307.71,308.02,778.87
2162,2021-07-27 20:20:09.487673856,308.0,308.02,307.98,308.02,11.4
2163,2021-07-27 20:20:13.602480128,308.0,308.02,307.98,308.01,18.22
2164,2021-07-27 20:20:16.689905152,308.0,308.03,307.98,308.03,29.17
2165,2021-07-27 20:20:20.805865472,308.0,308.07,307.98,308.07,37.85
2166,2021-07-27 20:20:24.923706368,308.0,308.07,307.98,308.07,48.11
2167,2021-07-27 20:20:29.039551232,308.0,308.11,307.98,308.11,89.32
2168,2021-07-27 20:20:33.154592768,308.0,308.13,307.98,308.13,91.47
2169,2021-07-27 20:20:37.270008064,308.0,308.13,307.98,308.13,101.97
2170,2021-07-27 20:20:41.384607232,308.0,308.13,307.98,308.13,111.07
2171,2021-07-27 20:20:45.497836288,308.0,308.13,307.98,308.13,135.14
2172,2021-07-27 20:20:52.696830208,308.0,308.3,307.98,308.3,181.46
2173,2021-07-27 20:20:56.813447936,308.0,308.34,307.98,308.33,227.47
2174,2021-07-27 20:21:00.927898368,308.0,308.35,307.98,308.34,280.27
2175,2021-07-27 20:21:05.041256448,308.0,308.39,307.98,308.39,301.44
2176,2021-07-27 20:21:09.147899904,308.0,308.4,307.98,308.4,304.05
2177,2021-07-27 20:21:13.266409216,308.0,308.41,307.98,308.41,310.36
2178,2021-07-27 20:21:17.383650816,308.0,308.45,307.98,308.45,338.32
2179,2021-07-27 20:21:21.509519616,308.0,308.48,307.98,308.48,343.74
2180,2021-07-27 20:21:28.714573056,308.0,308.58,307.98,308.58,421.52
2181,2021-07-27 20:21:32.831173120,308.0,308.59,307.98,308.59,435.37
2182,2021-07-27 20:21:36.949368320,308.0,308.62,307.98,308.46,621.7
2183,2021-07-27 20:21:41.065949440,308.0,308.62,307.98,308.37,698.7
2184,2021-07-27 20:21:45.187424000,308.0,308.62,307.98,308.37,708.75
2185,2021-07-27 20:21:49.307157504,308.0,308.62,307.98,308.37,714.38
2186,2021-07-27 20:21:53.426591488,308.0,308.62,307.98,308.38,731.41
